name,website,email,source,country,description,scraped_at
"Litlyx","https://litlyx.com","","GitHub/awesome-selfhosted/awesome-selfhosted","","All-in-one Analytics Solution. Setup in 30 seconds. Display all your data on an AI-powered dashboard. Fully self-hostable and GDPR compliant. ([Source Code](https://github.com/Litlyx/litlyx)) `Apache-2.0` `Docker`","2025-05-27 19:45:49"
"Liwan","https://liwan.dev/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Privacy-first web analytics. ([Demo](https://demo.liwan.dev/p/liwan.dev), [Source Code](https://github.com/explodingcamera/liwan)) `Apache-2.0` `Rust/Docker`","2025-05-27 19:45:49"
"Matomo","https://matomo.org/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Web analytics that protects your data and your customers' privacy (alternative to Google Analytics). ([Source Code](https://github.com/matomo-org/matomo)) `GPL-3.0` `PHP`","2025-05-27 19:45:49"
"Metabase","https://metabase.com/","","GitHub/awesome-selfhosted/awesome-selfhosted","data","Easy way for everyone in your company to ask questions and learn from data. ([Source Code](https://github.com/metabase/metabase)) `AGPL-3.0` `Java/Docker`","2025-05-27 19:45:49"
"Middleware","https://middlewarehq.com/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Tool designed to help engineering leaders measure and analyze the effectiveness of their teams using the DORA metrics. ([Source Code](https://github.com/middlewarehq/middleware)) `Apache-2.0` `Docker/Python/Nodejs`","2025-05-27 19:45:49"
"Mixpost","https://mixpost.app/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Social media management software to easily create, schedule, publish, and manage social media content in one place (alternative to Hootsuite, Buffer, and other social media tools). ([Source Code](https://github.com/inovector/MixpostApp)) `MIT` `PHP/Docker`","2025-05-27 19:45:49"
"Netron","https://netron.app/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Visualizer for neural network and machine learning models. ([Source Code](https://github.com/lutzroeder/netron)) `MIT` `Python/Nodejs`","2025-05-27 19:45:49"
"Offen","https://www.offen.dev/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Fair, lightweight and open web analytics tool. Gain insights while your users have full access to their data. ([Demo](https://www.offen.dev/try-demo/), [Source Code](https://github.com/offen/offen)) `Apache-2.0` `Go/Docker`","2025-05-27 19:45:49"
"Plausible Analytics","https://plausible.io/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Simple, lightweight (< 1 KB) and privacy-friendly web analytics. ([Source Code](https://github.com/plausible/analytics/)) `AGPL-3.0` `Elixir`","2025-05-27 19:45:49"
"PostHog","https://posthog.com","","GitHub/awesome-selfhosted/awesome-selfhosted","","Product analytics, session recording, feature flagging and a/b testing that you can self-host (alternative to Mixpanel/Amplitude/Heap/HotJar/Optimizely). ([Source Code](https://github.com/posthog/posthog)) `MIT` `Python`","2025-05-27 19:45:49"
"Postiz","https://postiz.com","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Prisme Analytics","https://www.prismeanalytics.com","","GitHub/awesome-selfhosted/awesome-selfhosted","","Privacy-focused and progressive analytics service based on Grafana. ([Source Code](https://github.com/prismelabs/analytics)) `AGPL-3.0/MIT` `Docker`","2025-05-27 19:45:49"
"Redash","http://redash.io","","GitHub/awesome-selfhosted/awesome-selfhosted","","Connect and query your data sources, build dashboards to visualize data and share them with your company. ([Source Code](https://github.com/getredash/redash)) `BSD-2-Clause` `Docker`","2025-05-27 19:45:49"
"RudderStack","https://rudderstack.com/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Collect, unify, transform, and store your customer data, and route it to a wide range of common, popular marketing, sales, and product tools (alternative to Segment). ([Source Code](https://github.com/rudderlabs/rudder-server/)) `AGPL-3.0` `Docker/K8S/Go/Nodejs`","2025-05-27 19:45:49"
"Shynet","https://github.com/milesmcc/shynet","","GitHub/awesome-selfhosted/awesome-selfhosted","","Modern, privacy-friendly, and detailed web analytics that works without cookies or JS. `Apache-2.0` `Python/Docker`","2025-05-27 19:45:49"
"Socioboard","https://github.com/socioboard/Socioboard-5.0","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Statistics for Strava","https://github.com/robiningelbrecht/statistics-for-strava","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Superset","http://superset.apache.org/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Modern data exploration and visualization platform. ([Source Code](https://github.com/apache/superset)) `Apache-2.0` `Python`","2025-05-27 19:45:49"
"Swetrix","https://swetrix.com/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Ultimate, open-source web analytics to satisfy all your needs. ([Demo](https://swetrix.com/projects/STEzHcB1rALV), [Source Code](https://github.com/Swetrix/selfhosting)) `AGPL-3.0` `Docker`","2025-05-27 19:45:49"
"Umami","https://umami.is/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Simple, fast, privacy-focused alternative to Google Analytics. ([Demo](https://analytics.umami.is/share/LGazGOecbDtaIwDr/umami.is), [Source Code](https://github.com/umami-software/umami)) `MIT` `Nodejs/Docker`","2025-05-27 19:45:49"
"Vince","https://www.vinceanalytics.com/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Web analytics and dashboard (alternative to Google Analytics). ([Demo](https://demo.vinceanalytics.com/v1/share/vinceanalytics.com?auth=Ls9tV4pzqOn7BJ7-&demo=true), [Source Code](https://github.com/vinceanalytics/vince)) `AGPL-3.0` `Go/Docker/K8S/deb`","2025-05-27 19:45:49"
"`^        back to top        ^`","#awesome-selfhosted","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"archiving","https://en.wikipedia.org/wiki/Archival_science","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Content Management Systems (CMS)","#content-management-systems-cms","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"awesome-web-archiving","https://github.com/iipc/awesome-web-archiving","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"ArchiveBox","https://archivebox.io/","","GitHub/awesome-selfhosted/awesome-selfhosted","your bookmarks","Create HTML & screenshot archives of sites from your bookmarks, browsing history, RSS feeds, or other sources (alternative to Wayback Machine). ([Source Code](https://github.com/ArchiveBox/ArchiveBox)) `MIT` `Python/Docker`","2025-05-27 19:45:49"
"ArchivesSpace","https://archivesspace.org/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Archives information management application for managing and providing Web access to archives, manuscripts and digital objects. ([Demo](https://archivesspace.org/application/sandbox), [Source Code](https://github.com/archivesspace/archivesspace)) `ECL-2.0` `Ruby`","2025-05-27 19:45:49"
"bitmagnet","https://bitmagnet.io","","GitHub/awesome-selfhosted/awesome-selfhosted","","BitTorrent indexer, DHT crawler, content classifier and torrent search engine with web UI, GraphQL API and Servarr stack integration. ([Source Code](https://github.com/bitmagnet-io/bitmagnet)) `MIT` `Go/Docker`","2025-05-27 19:45:49"
"CKAN","https://ckan.org","","GitHub/awesome-selfhosted/awesome-selfhosted","","Make open data websites. ([Source Code](https://github.com/ckan/ckan)) `AGPL-3.0` `Python`","2025-05-27 19:45:49"
"Collective Access - Providence","https://collectiveaccess.org/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Highly configurable Web-based framework for management, description, and discovery of digital and physical collections supporting a variety of metadata standards, data types, and media formats. ([Source Code](https://github.com/collectiveaccess/providence)) `GPL-3.0` `PHP`","2025-05-27 19:45:49"
"Ganymede","https://github.com/Zibbp/ganymede","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"LiveStreamDVR","https://github.com/MrBrax/LiveStreamDVR","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Omeka S","https://omeka.org/s/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Next-generation web publishing platform for institutions interested in connecting digital cultural heritage collections with other resources online. ([Source Code](https://github.com/omeka/omeka-s)) `GPL-3.0` `Nodejs`","2025-05-27 19:45:49"
"Wallabag","https://www.wallabag.org","","GitHub/awesome-selfhosted/awesome-selfhosted","","Wallabag, formerly Poche, is a web application allowing you to save articles to read them later with improved readability. ([Source Code](https://github.com/wallabag/wallabag)) `MIT` `PHP`","2025-05-27 19:45:49"
"Wayback","https://github.com/wabarc/wayback","","GitHub/awesome-selfhosted/awesome-selfhosted","","A self-hosted toolkit for archiving webpages to the Internet Archive, archive.today, IPFS, and local file systems. `GPL-3.0` `Go`","2025-05-27 19:45:49"
"Webarchive","https://github.com/derfenix/webarchive","","GitHub/awesome-selfhosted/awesome-selfhosted","your bookmarks","Lightweight self-hosted _wayback machine_ that creates HTML and PDF files from your bookmarks. `BSD-3-Clause` `Go`","2025-05-27 19:45:49"
"`^        back to top        ^`","#awesome-selfhosted","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Automation","https://en.wikipedia.org/wiki/Automation","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Internet of Things (IoT)","#internet-of-things-iot","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Activepieces","https://www.activepieces.com","","GitHub/awesome-selfhosted/awesome-selfhosted","","No-code business automation tool like Zapier or Tray. For example, you can send a Slack notification for each new Trello card. ([Source Code](https://github.com/activepieces/activepieces)) `MIT` `Docker`","2025-05-27 19:45:49"
"Apache Airflow","https://airflow.apache.org/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Platform to programmatically author, schedule, and monitor workflows. ([Source Code](https://github.com/apache/airflow/)) `Apache-2.0` `Python/Docker`","2025-05-27 19:45:49"
"Automatisch","https://automatisch.io","","GitHub/awesome-selfhosted/awesome-selfhosted","","Business automation tool that lets you connect different services like Twitter, Slack, and more to automate your business processes (alternative to Zapier). ([Source Code](https://github.com/automatisch/automatisch)) `AGPL-3.0` `Docker`","2025-05-27 19:45:49"
"BookBounty","https://github.com/TheWicklowWolf/BookBounty","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"changedetection.io","https://changedetection.io/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Stay up-to-date with web-site content changes. ([Source Code](https://github.com/dgtlmoon/changedetection.io)) `Apache-2.0` `Python/Docker`","2025-05-27 19:45:49"
"ChiefOnboarding","https://chiefonboarding.com","","GitHub/awesome-selfhosted/awesome-selfhosted","","Employee onboarding platform that allows you to provision user accounts and create sequences with todo items, resources, text/email/Slack messages, and more! Available as a web portal and Slack bot. ([Source Code](https://github.com/chiefonboarding/ChiefOnboarding)) `AGPL-3.0` `Docker`","2025-05-27 19:45:49"
"Discount Bandit","https://discount-bandit.cybrarist.com/","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Dittofeed","https://www.dittofeed.com","","GitHub/awesome-selfhosted/awesome-selfhosted","","Omni-channel customer engagement and messaging automation platform (alternative to Braze, Customer.io, Iterable). ([Demo](https://demo.dittofeed.com/dashboard/journeys), [Source Code](https://github.com/dittofeed/dittofeed)) `MIT` `Docker`","2025-05-27 19:45:49"
"feedmixer","https://github.com/cristoper/feedmixer","","GitHub/awesome-selfhosted/awesome-selfhosted","each given feed","Micro web service which takes a list of feed URLs and returns a new feed consisting of the most recent n entries from each given feed (returns Atom, RSS, or JSON). ([Demo](https://mretc.net/feedmixer/json?f=https://hnrss.org/newest&f=https://americancynic.net/atom.xml&n=1)) `WTFPL` `Python`","2025-05-27 19:45:49"
"Github Ntfy","https://github.com/BreizhHardware/ntfy_alerts","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"HandBrake Web","https://github.com/TheNickOfTime/handbrake-web","","GitHub/awesome-selfhosted/awesome-selfhosted","","Use one or more instances of HandBrake video transcoder on a headless device via a web interface. `AGPL-3.0` `Docker`","2025-05-27 19:45:49"
"Healthchecks","https://healthchecks.io/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Listen for pings and sends alerts when pings are late. ([Source Code](https://github.com/healthchecks/healthchecks)) `BSD-3-Clause` `Python/Docker`","2025-05-27 19:45:49"
"HRConvert2","https://github.com/zelon88/HRConvert2","","GitHub/awesome-selfhosted/awesome-selfhosted","","Drag-and-drop file conversion server with session based authentication, automatic temporary file maintenance, and logging capability. `GPL-3.0` `PHP`","2025-05-27 19:45:49"
"Huginn","https://github.com/huginn/huginn","","GitHub/awesome-selfhosted/awesome-selfhosted","","Build agents that monitor and act on your behalf. `MIT` `Ruby`","2025-05-27 19:45:49"
"Kestra","https://kestra.io","","GitHub/awesome-selfhosted/awesome-selfhosted","","Event-driven, language-agnostic platform to create, schedule, and monitor workflows. In code. Coordinate data pipelines and tasks such as ETL and ELT. ([Source Code](https://github.com/kestra-io/kestra)) `Apache-2.0` `Docker`","2025-05-27 19:45:49"
"Kibitzr","https://kibitzr.github.io","","GitHub/awesome-selfhosted/awesome-selfhosted","","Lightweight personal web assistant with powerful integrations. ([Source Code](https://github.com/kibitzr/kibitzr)) `MIT` `Python`","2025-05-27 19:45:49"
"LazyLibrarian","https://gitlab.com/LazyLibrarian/LazyLibrarian","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Leon","https://getleon.ai","","GitHub/awesome-selfhosted/awesome-selfhosted","","Personal assistant who can live on your server. ([Source Code](https://github.com/leon-ai/leon)) `MIT` `Nodejs`","2025-05-27 19:45:49"
"Matchering","https://github.com/sergree/matchering","","GitHub/awesome-selfhosted/awesome-selfhosted","","Automated music mastering (alternative to LANDR, eMastered, and MajorDecibel). `GPL-3.0` `Docker`","2025-05-27 19:45:49"
"Mylar3","https://mylarcomics.com/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Automated Comic Book (cbr/cbz) downloader program for use with NZB and torrents. ([Source Code](https://github.com/mylar3/mylar3)) `GPL-3.0` `Python/Docker`","2025-05-27 19:45:49"
"OliveTin","https://www.olivetin.app/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Web interface for running Linux shell commands. ([Source Code](https://github.com/OliveTin/OliveTin)) `AGPL-3.0` `Go`","2025-05-27 19:45:49"
"pyLoad","https://pyload.net/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Lightweight, customizable and remotely manageable downloader for 1-click-hosting sites like rapidshare.com or uploaded.to. ([Source Code](https://github.com/pyload/pyload)) `AGPL-3.0` `Python`","2025-05-27 19:45:49"
"StackStorm","https://stackstorm.com","","GitHub/awesome-selfhosted/awesome-selfhosted","","StackStorm (aka _IFTTT for Ops_) is event-driven automation for auto-remediation, security responses, troubleshooting, deployments, and more. Includes rules engine, workflow, 160 integration packs with 6000+ actions and ChatOps. ([Source Code](https://github.com/StackStorm/st2)) `Apache-2.0` `Python`","2025-05-27 19:45:49"
"µTask","https://github.com/ovh/utask","","GitHub/awesome-selfhosted/awesome-selfhosted","","Automation engine that models and executes business processes declared in yaml. `BSD-3-Clause` `Go/Docker`","2025-05-27 19:45:49"
"`^        back to top        ^`","#awesome-selfhosted","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Backup","https://en.wikipedia.org/wiki/Backup","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"awesome-sysadmin/Backups","https://github.com/awesome-foss/awesome-sysadmin#backups","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"`^        back to top        ^`","#awesome-selfhosted","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"blog","https://en.wikipedia.org/wiki/Blog","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Static Site Generators","#static-site-generators","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"WeblogMatrix","https://www.weblogmatrix.org/","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Antville","https://antville.org","","GitHub/awesome-selfhosted/awesome-selfhosted","","Free, open source project aimed at the development of a high performance, feature rich weblog hosting software. ([Source Code](https://github.com/antville/antville)) `Apache-2.0` `Javascript`","2025-05-27 19:45:49"
"Castopod","https://castopod.org","","GitHub/awesome-selfhosted/awesome-selfhosted","","Podcast management hosting platform that includes the latest podcast 2.0 standards, an automated Fediverse feed, analytics, an embeddable player, and more. ([Source Code](https://code.castopod.org/adaures/castopod)) `AGPL-3.0` `PHP/Docker`","2025-05-27 19:45:49"
"Chyrp Lite","https://chyrplite.net","","GitHub/awesome-selfhosted/awesome-selfhosted","","Extra-awesome, extra-lightweight blog engine. ([Source Code](https://github.com/xenocrat/chyrp-lite)) `BSD-3-Clause` `PHP`","2025-05-27 19:45:49"
"Dotclear","https://git.dotclear.org/dev/dotclear","","GitHub/awesome-selfhosted/awesome-selfhosted","","Take control over your blog. `GPL-2.0` `PHP`","2025-05-27 19:45:49"
"FlatPress","https://flatpress.org/","","GitHub/awesome-selfhosted/awesome-selfhosted","","A lightweight, easy-to-set-up flat-file blogging engine. ([Source Code](https://github.com/flatpressblog/flatpress)) `GPL-2.0` `PHP`","2025-05-27 19:45:49"
"Ghost","https://ghost.org/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Just a blogging platform. ([Source Code](https://github.com/TryGhost/Ghost)) `MIT` `Nodejs`","2025-05-27 19:45:49"
"Haven","https://havenweb.org/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Private blogging system with markdown editing and built in RSS reader. ([Demo](https://havenweb.org/demo.html), [Source Code](https://github.com/havenweb/haven)) `MIT` `Ruby`","2025-05-27 19:45:49"
"HTMLy","https://www.htmly.com/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Databaseless PHP blogging platform. A flat-file CMS that allows you to create a fast, secure, and powerful website or blog in seconds. ([Demo](http://demo.htmly.com/), [Source Code](https://github.com/danpros/htmly)) `GPL-2.0` `PHP`","2025-05-27 19:45:49"
"Known","https://withknown.com/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Collaborative social publishing platform. ([Source Code](https://github.com/idno/known)) `Apache-2.0` `PHP`","2025-05-27 19:45:49"
"Mataroa","https://mataroa.blog/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Naked blogging platform for minimalists. ([Source Code](https://github.com/mataroa-blog/mataroa)) `MIT` `Python`","2025-05-27 19:45:49"
"PluXml","https://pluxml.org","","GitHub/awesome-selfhosted/awesome-selfhosted","","XML-based blog/CMS platform. ([Source Code](https://github.com/pluxml/PluXml)) `GPL-3.0` `PHP`","2025-05-27 19:45:49"
"Serendipity","https://docs.s9y.org/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Serendipity (s9y) is a highly extensible and customizable PHP blog engine using Smarty templating. ([Source Code](https://github.com/s9y/serendipity)) `BSD-3-Clause` `PHP`","2025-05-27 19:45:49"
"WriteFreely","https://writefreely.org","","GitHub/awesome-selfhosted/awesome-selfhosted","","Writing software for starting a minimalist, federated blog — or an entire community. ([Source Code](https://github.com/writefreely/writefreely)) `AGPL-3.0` `Go`","2025-05-27 19:45:49"
"`^        back to top        ^`","#awesome-selfhosted","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Polls and Events","#polls-and-events","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Alf.io","https://alf.io/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Ticket reservation system. ([Demo](https://demo.alf.io/authentication), [Source Code](https://github.com/alfio-event/alf.io)) `GPL-3.0` `Java`","2025-05-27 19:45:49"
"Cal.com","https://cal.com/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Online appointment scheduling system. ([Demo](https://app.cal.com/bailey), [Source Code](https://github.com/calcom/cal.com)) `AGPL-3.0` `Nodejs`","2025-05-27 19:45:49"
"Easy!Appointments","https://easyappointments.org/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Allows your customers to book appointments with you via the web. ([Demo](https://demo.easyappointments.org/), [Source Code](https://github.com/alextselegidis/easyappointments)) `GPL-3.0` `PHP`","2025-05-27 19:45:49"
"Hi.Events","https://hi.events","","GitHub/awesome-selfhosted/awesome-selfhosted","","Event management and ticketing platform for conferences, concerts, and more. Offering customizable event pages and embeddable ticket widgets. ([Demo](https://demo.hi.events/event/1/dog-conf-2030), [Source Code](https://github.com/HiEventsDev/hi.events)) `AGPL-3.0` `Docker`","2025-05-27 19:45:49"
"QloApps","https://qloapps.com/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Customizable and intuitive web-based hotel reservation system and a booking engine. ([Demo](https://demo.qloapps.com/), [Source Code](https://github.com/webkul/hotelcommerce)) `OSL-3.0` `PHP/Nodejs`","2025-05-27 19:45:49"
"Rallly","https://rallly.co","","GitHub/awesome-selfhosted/awesome-selfhosted","","Create polls to vote on dates and times (alternative to Doodle). ([Demo](https://app.rallly.co), [Source Code](https://github.com/lukevella/rallly)) `AGPL-3.0` `Nodejs/Docker`","2025-05-27 19:45:49"
"Seatsurfing","https://seatsurfing.app/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Webbased app to book seats, desks and rooms for offices. ([Source Code](https://github.com/seatsurfing/backend)) `GPL-3.0` `Docker`","2025-05-27 19:45:49"
"`^        back to top        ^`","#awesome-selfhosted","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"bookmarks","https://en.wikipedia.org/wiki/Bookmark_(digital","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Briefkasten","https://github.com/ndom91/briefkasten","","GitHub/awesome-selfhosted/awesome-selfhosted","","Modern app for saving and managing your own bookmarks. Includes a browser extension. ([Demo](https://briefkastenhq.com/auth/signin)) `MIT` `Nodejs/Docker`","2025-05-27 19:45:49"
"Buku","https://github.com/jarun/Buku","","GitHub/awesome-selfhosted/awesome-selfhosted","","Powerful bookmark manager and a personal textual mini-web. `GPL-3.0` `Python/deb`","2025-05-27 19:45:49"
"Digibunch","https://ladigitale.dev/digibunch/#/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Create bunches of links to share with your learners or colleagues. ([Demo](https://ladigitale.dev/digibunch/#/b/5f67b12092b60), [Source Code](https://codeberg.org/ladigitale/digibunch)) `AGPL-3.0` `Nodejs/PHP`","2025-05-27 19:45:49"
"Espial","https://github.com/jonschoning/espial","","GitHub/awesome-selfhosted/awesome-selfhosted","","An open-source, web-based bookmarking server. `AGPL-3.0` `Haskell`","2025-05-27 19:45:49"
"Firefox Account Server","https://mozilla-services.readthedocs.io/en/latest/howtos/run-fxa.html","","GitHub/awesome-selfhosted/awesome-selfhosted","","Host your own Firefox accounts server. ([Source Code](https://github.com/mozilla/fxa)) `MPL-2.0` `Nodejs/Java`","2025-05-27 19:45:49"
"Grimoire","https://grimoire.pro","","GitHub/awesome-selfhosted/awesome-selfhosted","","Bookmark manager with a modern UI, automatic content & metadata extraction, categorization, filtering, and more. It has fully documented REST API, and Docker image for easy deployment. ([Source Code](https://github.com/goniszewski/grimoire)) `MIT` `Nodejs/Docker`","2025-05-27 19:45:49"
"Karakeep","https://karakeep.app/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Bookmark-everything app with a touch of AI for the data hoarders out there. ([Demo](https://try.karakeep.app/signin), [Source Code](https://github.com/karakeep-app/karakeep)) `AGPL-3.0` `Docker`","2025-05-27 19:45:49"
"LinkAce","https://www.linkace.org/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Bookmark archive with automatic backups to the Internet Archive, link monitoring, and a full REST API. Installation is done via Docker, or as a simple PHP application. ([Demo](https://demo.linkace.org/guest/links), [Source Code](https://github.com/Kovah/LinkAce/)) `GPL-3.0` `Docker/PHP`","2025-05-27 19:45:49"
"linkding","https://linkding.link/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Minimal bookmark management with a fast and clean UI. Simple installation through Docker and can run on your Raspberry Pi. ([Demo](https://demo.linkding.link/login/), [Source Code](https://github.com/sissbruecker/linkding)) `MIT` `Docker`","2025-05-27 19:45:49"
"LinkWarden","https://linkwarden.app/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Bookmark and archive manager to store your useful links. ([Source Code](https://github.com/linkwarden/linkwarden)) `MIT` `Docker/Nodejs`","2025-05-27 19:45:49"
"NeonLink","https://github.com/AlexSciFier/neonlink","","GitHub/awesome-selfhosted/awesome-selfhosted","","Bookmark service with unique design and simple installation with Docker. `MIT` `Docker`","2025-05-27 19:45:49"
"Readeck","https://readeck.org/en/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Readeck is a simple web application that lets you save the precious readable content of web pages you like and want to keep forever. See it as a bookmark manager and a read later tool. ([Source Code](https://codeberg.org/readeck/readeck), [Clients](https://codeberg.org/readeck/browser-extension)) `AGPL-3.0` `Go/Docker`","2025-05-27 19:45:49"
"Servas","https://github.com/beromir/Servas","","GitHub/awesome-selfhosted/awesome-selfhosted","","A self-hosted bookmark management tool. It allows organization with tags, groups, and a list specifically for later access. It supports multiple users with 2FA. Companion browser extensions are available for Firefox and Chrome. ([Clients](https://github.com/beromir/Servas#browser-extensions)) `GPL-3.0` `Docker/Nodejs/PHP`","2025-05-27 19:45:49"
"Shaarli","https://github.com/shaarli/Shaarli","","GitHub/awesome-selfhosted/awesome-selfhosted","","Personal, minimalist, super-fast, no-database bookmarking and link sharing platform. ([Demo](https://demo.shaarli.org)) `Zlib` `PHP/deb`","2025-05-27 19:45:49"
"Shiori","https://github.com/go-shiori/shiori","","GitHub/awesome-selfhosted/awesome-selfhosted","","Simple bookmark manager built with Go. `MIT` `Go/Docker`","2025-05-27 19:45:49"
"Slash","https://github.com/boojack/slash","","GitHub/awesome-selfhosted/awesome-selfhosted","","An open source, self-hosted bookmarks and link sharing platform. `GPL-3.0` `Docker`","2025-05-27 19:45:49"
"SyncMarks","https://codeberg.org/Offerel/SyncMarks-Webapp","","GitHub/awesome-selfhosted/awesome-selfhosted","Edge","Sync and manage your browser bookmarks from Edge, Firefox and Chromium. ([Clients](https://codeberg.org/Offerel/SyncMarks-Extension)) `AGPL-3.0` `PHP`","2025-05-27 19:45:49"
"`^        back to top        ^`","#awesome-selfhosted","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"CalDAV","https://en.wikipedia.org/wiki/CalDAV","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Groupware","#groupware","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Comparison of CalDAV and CardDAV implementations - Wikipedia","https://en.wikipedia.org/wiki/Comparison_of_CalDAV_and_CardDAV_implementations","","GitHub/awesome-selfhosted/awesome-selfhosted","","No description","2025-05-27 19:45:49"
"Baïkal","https://sabre.io/baikal/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Lightweight CalDAV and CardDAV server based on sabre/dav. ([Source Code](https://github.com/sabre-io/Baikal)) `GPL-3.0` `PHP`","2025-05-27 19:45:49"
"DAViCal","https://www.davical.org/","","GitHub/awesome-selfhosted/awesome-selfhosted","","Server for calendar sharing (CalDAV) that uses a PostgreSQL database as a data store. ([Source Code](https://gitlab.com/davical-project/davical)) `GPL-2.0` `PHP/deb`","2025-05-27 19:45:49"
"Davis","https://github.com/tchapi/davis","","GitHub/awesome-selfhosted/awesome-selfhosted","","A simple, dockerizable and fully translatable admin interface for sabre/dav based on Symfony 5 and Bootstrap 4, largely inspired by Baïkal. `MIT` `PHP`","2025-05-27 19:45:49"
"Etebase (EteSync)","https://www.etebase.com/","","GitHub/awesome-selfhosted/awesome-selfhosted","","End-to-end encrypted and journaled personal information server supporting calendar and contact data, offering its own clients. ([Source Code](https://github.com/etesync/server)) `AGPL-3.0` `Python/Django`","2025-05-27 19:45:49"
